Фонарик брелок для ключей;59,01 руб
Набор щёток для чистки газовых плит (3 шт);62,92 руб
Ловушка для насекомых (10 листов);85,17 руб
Силиконовая крышка для кружек;68,35 руб
Трубочки-очки для напитков;67,49 руб
Подвесной держатель для обуви;88,41 руб
Мыльница гусь;99,49 руб
Ластик для чистки обуви;95,12 руб
Заплатка  из кожзаменителя (10 × 20 см);71,08 руб
Спрессованное х/б полотенце 22х30 см (поштучно);17,01 руб
Защитная лента для кухни и ванной комнаты (узкая);96,78 руб
Сумка-тоут из войлока;290,00 руб
Заправщик простыни;42,96 руб
Крем-мазь Qian nian qi cao (15 гр);120,12 руб
Пуговица-стопор шнура;20,88 руб
Согревающие стельки одноразовые (36-39 размер);65,87 руб
Кольцо-брошь для платков «Камелия»;89,84 руб
Антибактериальный коврик;65,39 руб
